09:01:46 - Creata piattaforma a x=250, y=750, livello=Mantello
09:01:46 - Creata piattaforma a x=449, y=670, livello=Mantello
09:01:46 - Creata piattaforma a x=66, y=590, livello=Mantello
09:01:46 - Creata piattaforma a x=187, y=510, livello=Mantello
09:01:46 - Creata piattaforma a x=205, y=430, livello=Mantello
09:01:46 - Creata piattaforma a x=217, y=350, livello=Mantello
09:01:46 - Creata piattaforma a x=400, y=270, livello=Mantello
09:01:46 - Creata piattaforma a x=101, y=190, livello=Mantello
09:01:46 - Creata piattaforma a x=373, y=110, livello=Mantello
09:01:46 - Creata piattaforma a x=69, y=30, livello=Mantello
09:01:46 - Creata piattaforma a x=373, y=-50, livello=Crosta Terrestre
09:01:46 - Creata piattaforma a x=139, y=-130, livello=Crosta Terrestre
09:01:46 - Creata piattaforma a x=410, y=-210, livello=Crosta Terrestre
09:01:46 - Creata piattaforma a x=349, y=-290, livello=Crosta Terrestre
09:01:46 - Creata piattaforma a x=294, y=-370, livello=Crosta Terrestre
09:01:46 - Creata piattaforma a x=235, y=-450, livello=Crosta Terrestre
09:01:46 - Creata piattaforma a x=391, y=-530, livello=Crosta Terrestre
09:01:46 - Creata piattaforma a x=280, y=-610, livello=Crosta Terrestre
09:01:46 - Creata piattaforma a x=350, y=-690, livello=Crosta Terrestre
09:01:46 - Creata piattaforma a x=409, y=-770, livello=Vulcano
09:01:46 - Creata piattaforma a x=406, y=-850, livello=Vulcano
09:01:46 - Creata piattaforma a x=155, y=-930, livello=Vulcano
09:01:46 - Creata piattaforma a x=257, y=-1010, livello=Vulcano
09:01:46 - Creata piattaforma a x=421, y=-1090, livello=Vulcano
09:01:46 - Creata piattaforma a x=243, y=-1170, livello=Vulcano
09:01:46 - Creata piattaforma a x=216, y=-1250, livello=Vulcano
09:01:46 - Creata piattaforma a x=317, y=-1330, livello=Vulcano
09:01:46 - Creata piattaforma a x=403, y=-1410, livello=Vulcano
09:01:46 - Creata piattaforma a x=84, y=-1490, livello=Vulcano
09:01:46 - Creata piattaforma a x=434, y=-1570, livello=Vulcano
09:01:46 - Creata piattaforma a x=92, y=-1650, livello=Vulcano
09:01:46 - Creata piattaforma a x=410, y=-1730, livello=Vulcano
09:01:46 - Creata piattaforma a x=291, y=-1810, livello=Vulcano
09:01:46 - Creata piattaforma a x=354, y=-1890, livello=Vulcano
09:01:46 - Creata piattaforma a x=53, y=-1970, livello=Vulcano
09:01:46 - Creata piattaforma a x=387, y=-2050, livello=Vulcano
09:01:46 - Creata piattaforma a x=193, y=-2130, livello=Vulcano
09:01:46 - Creata piattaforma a x=319, y=-2210, livello=Vulcano
09:01:46 - Creata piattaforma a x=420, y=-2290, livello=Vulcano
09:01:46 - Creata piattaforma a x=402, y=-2370, livello=Vulcano
09:01:46 - Creata piattaforma a x=240, y=-2450, livello=Vulcano
09:01:46 - Creata piattaforma a x=267, y=-2530, livello=Vulcano
09:01:46 - Creata piattaforma a x=401, y=-2610, livello=Vulcano
09:01:46 - Creata piattaforma a x=426, y=-2690, livello=Vulcano
09:01:46 - Creata piattaforma a x=264, y=-2770, livello=Vulcano
09:01:46 - Creata piattaforma a x=216, y=-2850, livello=Vulcano
09:01:46 - Creata piattaforma a x=423, y=-2930, livello=Vulcano
09:01:46 - Creata piattaforma a x=409, y=-3010, livello=Vulcano
09:01:46 - Creata piattaforma a x=277, y=-3090, livello=Vulcano
09:01:46 - Creata piattaforma a x=176, y=-3170, livello=Vulcano
09:01:46 - Creata piattaforma a x=285, y=-3250, livello=Vulcano
09:01:46 - Creata piattaforma a x=198, y=-3330, livello=Vulcano
09:01:46 - Creata piattaforma a x=89, y=-3410, livello=Vulcano
09:01:46 - Creata piattaforma a x=439, y=-3490, livello=Vulcano
09:01:46 - Creata piattaforma a x=425, y=-3570, livello=Vulcano
09:01:46 - Creata piattaforma a x=424, y=-3650, livello=Vulcano
09:01:46 - Creata piattaforma a x=409, y=-3730, livello=Vulcano
09:01:46 - Creata piattaforma a x=415, y=-3810, livello=Vulcano
09:01:46 - Creata piattaforma a x=388, y=-3890, livello=Vulcano
09:01:46 - Creata piattaforma a x=429, y=-3970, livello=Vulcano
09:01:46 - Creata piattaforma a x=197, y=-4050, livello=Vulcano
09:01:46 - Creata piattaforma a x=113, y=-4130, livello=Vulcano
09:01:46 - Creata piattaforma a x=425, y=-4210, livello=Vulcano
09:01:46 - Creata piattaforma a x=405, y=-4290, livello=Vulcano
09:01:46 - Creata piattaforma a x=400, y=-4370, livello=Vulcano
09:01:46 - Creata piattaforma a x=351, y=-4450, livello=Vulcano
09:01:46 - Generate 66 piattaforme in totale
09:01:46 - Collisione con piattaforma 0 - Tipo: 0 - plat_top(screen)=750.0 ball_bottom=750.9 prev_bottom=750.1
09:01:46 - Rimbalzo - Pos Y schermo: 717.9, Vel Y: -14.0, Piattaforma idx: 0
