18:58:48 - Rimbalzo - Pos Y: 717.1825157324799, Velocità Y: -14, Piattaforma Y: 750
18:58:48 - Rimbalzo - Pos Y: 710.4405363948736, Velocità Y: -14, Piattaforma Y: 750
18:58:49 - Rimbalzo - Pos Y: 709.7334243204045, Velocità Y: -14, Piattaforma Y: 750
18:58:49 - Rimbalzo - Pos Y: 660.3638759618327, Velocità Y: -14, Piattaforma Y: 700
18:58:50 - Rimbalzo - Pos Y: 658.8002495670189, Velocità Y: -14, Piattaforma Y: 700
18:58:50 - Rimbalzo - Pos Y: 562.6584454255957, Velocità Y: -14, Piattaforma Y: 600
18:58:51 - Rimbalzo - Pos Y: 559.7674429102655, Velocità Y: -14, Piattaforma Y: 600
18:58:51 - Rimbalzo - Pos Y: 461.1736576809422, Velocità Y: -14, Piattaforma Y: 500
18:58:52 - Rimbalzo - Pos Y: 459.74425091995454, Velocità Y: -14, Piattaforma Y: 500
18:58:52 - Rimbalzo - Pos Y: 459.72440500173633, Velocità Y: -14, Piattaforma Y: 500
18:58:53 - Rimbalzo - Pos Y: 359.2374922209456, Velocità Y: -14, Piattaforma Y: 400
18:58:53 - Stato gioco - Altezza: -0.00 km, World offset: 3.962507779054363, Player y: 276.03749222094564, Velocità y: -7.599999999999995
18:58:53 - Nuova piattaforma MANTELLO - Y: 273.96250777905436, Width: 105, Distanza dalla precedente: 30.0
18:58:53 - Nuova piattaforma MANTELLO - Y: 233.96250777905436, Width: 124, Distanza dalla precedente: 40.0
18:58:53 - Nuova piattaforma MANTELLO - Y: 194.96250777905436, Width: 113, Distanza dalla precedente: 39.0
18:58:53 - Nuova piattaforma MANTELLO - Y: 158.96250777905436, Width: 114, Distanza dalla precedente: 36.0
18:58:53 - Nuova piattaforma MANTELLO - Y: 128.96250777905436, Width: 95, Distanza dalla precedente: 30.0
18:58:53 - Nuova piattaforma MANTELLO - Y: 93.96250777905436, Width: 109, Distanza dalla precedente: 35.0
18:58:53 - Nuova piattaforma MANTELLO - Y: 60.96250777905436, Width: 128, Distanza dalla precedente: 33.0
18:58:53 - Nuova piattaforma MANTELLO - Y: 18.962507779054363, Width: 109, Distanza dalla precedente: 42.0
18:58:53 - Nuova piattaforma MANTELLO - Y: -22.037492220945637, Width: 101, Distanza dalla precedente: 41.0
18:58:53 - Nuova piattaforma MANTELLO - Y: -56.03749222094564, Width: 104, Distanza dalla precedente: 34.0
18:58:53 - Nuova piattaforma MANTELLO - Y: -90.03749222094564, Width: 103, Distanza dalla precedente: 34.0
18:58:53 - Nuova piattaforma MANTELLO - Y: -127.03749222094564, Width: 129, Distanza dalla precedente: 37.0
18:58:53 - Nuova piattaforma MANTELLO - Y: -161.03749222094564, Width: 124, Distanza dalla precedente: 34.0
18:58:53 - Nuova piattaforma MANTELLO - Y: -205.03749222094564, Width: 109, Distanza dalla precedente: 44.0
18:58:53 - Nuova piattaforma MANTELLO - Y: -236.03749222094564, Width: 109, Distanza dalla precedente: 31.0
18:58:53 - Nuova piattaforma MANTELLO - Y: -268.03749222094564, Width: 112, Distanza dalla precedente: 32.0
18:58:53 - Nuova piattaforma MANTELLO - Y: -306.03749222094564, Width: 125, Distanza dalla precedente: 38.0
18:58:53 - Nuova piattaforma MANTELLO - Y: -347.03749222094564, Width: 116, Distanza dalla precedente: 41.0
18:58:53 - Nuova piattaforma MANTELLO - Y: -377.03749222094564, Width: 94, Distanza dalla precedente: 30.0
18:58:53 - Nuova piattaforma MANTELLO - Y: -411.03749222094564, Width: 114, Distanza dalla precedente: 34.0
18:58:53 - Nuova piattaforma MANTELLO - Y: -448.03749222094564, Width: 121, Distanza dalla precedente: 37.0
18:58:53 - Nuova piattaforma MANTELLO - Y: -479.03749222094564, Width: 106, Distanza dalla precedente: 31.0
18:58:53 - Nuova piattaforma MANTELLO - Y: -516.0374922209456, Width: 91, Distanza dalla precedente: 37.0
18:58:53 - Nuova piattaforma MANTELLO - Y: -556.0374922209456, Width: 108, Distanza dalla precedente: 40.0
18:58:53 - Nuova piattaforma MANTELLO - Y: -587.0374922209456, Width: 106, Distanza dalla precedente: 31.0
18:58:53 - Nuova piattaforma MANTELLO - Y: -621.0374922209456, Width: 118, Distanza dalla precedente: 34.0
18:58:53 - Nuova piattaforma MANTELLO - Y: -663.0374922209456, Width: 97, Distanza dalla precedente: 42.0
18:58:53 - Nuova piattaforma MANTELLO - Y: -706.0374922209456, Width: 124, Distanza dalla precedente: 43.0
18:58:53 - Nuova piattaforma MANTELLO - Y: -748.0374922209456, Width: 130, Distanza dalla precedente: 42.0
18:58:53 - Nuova piattaforma MANTELLO - Y: -786.0374922209456, Width: 126, Distanza dalla precedente: 38.0
18:58:53 - Nuova piattaforma MANTELLO - Y: -830.0374922209456, Width: 103, Distanza dalla precedente: 44.0
18:58:53 - Nuova piattaforma MANTELLO - Y: -866.0374922209456, Width: 98, Distanza dalla precedente: 36.0
18:58:53 - Nuova piattaforma MANTELLO - Y: -903.0374922209456, Width: 112, Distanza dalla precedente: 37.0
18:58:53 - Nuova piattaforma MANTELLO - Y: -946.0374922209456, Width: 95, Distanza dalla precedente: 43.0
18:58:53 - Nuova piattaforma MANTELLO - Y: -988.0374922209456, Width: 121, Distanza dalla precedente: 42.0
18:58:53 - Nuova piattaforma MANTELLO - Y: -1033.0374922209458, Width: 119, Distanza dalla precedente: 45.000000000000114
18:58:53 - Nuova piattaforma MANTELLO - Y: -1077.0374922209458, Width: 93, Distanza dalla precedente: 44.0
18:58:53 - Nuova piattaforma MANTELLO - Y: -1115.0374922209458, Width: 120, Distanza dalla precedente: 38.0
18:58:53 - Nuova piattaforma MANTELLO - Y: -1157.0374922209458, Width: 97, Distanza dalla precedente: 42.0
18:58:53 - Nuova piattaforma MANTELLO - Y: -1201.0374922209458, Width: 92, Distanza dalla precedente: 44.0
18:58:53 - Nuova piattaforma MANTELLO - Y: -1231.0374922209458, Width: 127, Distanza dalla precedente: 30.0
18:58:53 - Nuova piattaforma MANTELLO - Y: -1273.0374922209458, Width: 99, Distanza dalla precedente: 42.0
18:58:53 - Nuova piattaforma MANTELLO - Y: -1312.0374922209458, Width: 108, Distanza dalla precedente: 39.0
18:58:53 - Nuova piattaforma MANTELLO - Y: -1347.0374922209458, Width: 108, Distanza dalla precedente: 35.0
18:58:53 - Nuova piattaforma MANTELLO - Y: -1385.0374922209458, Width: 97, Distanza dalla precedente: 38.0
18:58:53 - Nuova piattaforma MANTELLO - Y: -1417.0374922209458, Width: 123, Distanza dalla precedente: 32.0
18:58:53 - Nuova piattaforma MANTELLO - Y: -1454.0374922209458, Width: 130, Distanza dalla precedente: 37.0
18:58:53 - Nuova piattaforma MANTELLO - Y: -1497.0374922209458, Width: 103, Distanza dalla precedente: 43.0
18:58:53 - Nuova piattaforma MANTELLO - Y: -1536.0374922209458, Width: 112, Distanza dalla precedente: 39.0
18:58:53 - Nuova piattaforma MANTELLO - Y: -1576.0374922209458, Width: 103, Distanza dalla precedente: 40.0
18:58:53 - Nuova piattaforma MANTELLO - Y: -1621.0374922209458, Width: 127, Distanza dalla precedente: 45.0
18:58:53 - Nuova piattaforma MANTELLO - Y: -1651.0374922209458, Width: 123, Distanza dalla precedente: 30.0
18:58:53 - Nuova piattaforma MANTELLO - Y: -1689.0374922209458, Width: 109, Distanza dalla precedente: 38.0
18:58:53 - Nuova piattaforma MANTELLO - Y: -1726.0374922209458, Width: 118, Distanza dalla precedente: 37.0
18:58:53 - Nuova piattaforma MANTELLO - Y: -1771.0374922209458, Width: 123, Distanza dalla precedente: 45.0
18:58:53 - Nuova piattaforma MANTELLO - Y: -1810.0374922209458, Width: 117, Distanza dalla precedente: 39.0
18:58:53 - Nuova piattaforma MANTELLO - Y: -1851.0374922209458, Width: 125, Distanza dalla precedente: 41.0
18:58:53 - Nuova piattaforma MANTELLO - Y: -1892.0374922209458, Width: 97, Distanza dalla precedente: 41.0
18:58:53 - Nuova piattaforma MANTELLO - Y: -1929.0374922209458, Width: 101, Distanza dalla precedente: 37.0
18:58:53 - Nuova piattaforma MANTELLO - Y: -1961.0374922209458, Width: 95, Distanza dalla precedente: 32.0
18:58:53 - Nuova piattaforma MANTELLO - Y: -1993.0374922209458, Width: 114, Distanza dalla precedente: 32.0
18:58:53 - Nuova piattaforma MANTELLO - Y: -2027.0374922209458, Width: 111, Distanza dalla precedente: 34.0
18:58:53 - Nuova piattaforma MANTELLO - Y: -2069.0374922209458, Width: 106, Distanza dalla precedente: 42.0
18:58:53 - Nuova piattaforma MANTELLO - Y: -2105.0374922209458, Width: 101, Distanza dalla precedente: 36.0
18:58:53 - Nuova piattaforma MANTELLO - Y: -2136.0374922209458, Width: 102, Distanza dalla precedente: 31.0
18:58:53 - Nuova piattaforma MANTELLO - Y: -2166.0374922209458, Width: 124, Distanza dalla precedente: 30.0
