19:14:11 - Generate piattaforme Mantello da 650 a -850
19:14:11 - Generate piattaforme Crosta da -970 a -2470
19:14:11 - Generate piattaforme Vulcano da -2590 a -3590
19:14:11 - Rimbalzo - Pos Y: 717.1825157324799, Velocità Y: -14, Piattaforma Y: 750
19:14:15 - GAME OVER - Pos Y: 1613.5152098859746, Velocità Y: 15, Ultima piattaforma Y: -3550
19:14:15 - GAME OVER - Pos Y: 1628.5152098859746, Velocità Y: 15, Ultima piattaforma Y: -3550
19:14:15 - GAME OVER - Pos Y: 1643.5152098859746, Velocità Y: 15, Ultima piattaforma Y: -3550
19:14:15 - GAME OVER - Pos Y: 1658.5152098859746, Velocità Y: 15, Ultima piattaforma Y: -3550
19:14:15 - GAME OVER - Pos Y: 1673.5152098859746, Velocità Y: 15, Ultima piattaforma Y: -3550
19:14:15 - GAME OVER - Pos Y: 1688.5152098859746, Velocità Y: 15, Ultima piattaforma Y: -3550
19:14:15 - GAME OVER - Pos Y: 1703.5152098859746, Velocità Y: 15, Ultima piattaforma Y: -3550
19:14:15 - GAME OVER - Pos Y: 1718.5152098859746, Velocità Y: 15, Ultima piattaforma Y: -3550
19:14:15 - GAME OVER - Pos Y: 1733.5152098859746, Velocità Y: 15, Ultima piattaforma Y: -3550
19:14:15 - GAME OVER - Pos Y: 1748.5152098859746, Velocità Y: 15, Ultima piattaforma Y: -3550
19:14:15 - GAME OVER - Pos Y: 1763.5152098859746, Velocità Y: 15, Ultima piattaforma Y: -3550
19:14:15 - GAME OVER - Pos Y: 1778.5152098859746, Velocità Y: 15, Ultima piattaforma Y: -3550
19:14:15 - GAME OVER - Pos Y: 1793.5152098859746, Velocità Y: 15, Ultima piattaforma Y: -3550
19:14:15 - Resettando il gioco - Inizializzazione piattaforme statiche
19:14:15 - Generate piattaforme Mantello da 650 a -850
19:14:15 - Generate piattaforme Crosta da -970 a -2470
19:14:15 - Generate piattaforme Vulcano da -2590 a -3590
19:14:15 - Rimbalzo - Pos Y: 717.1825157324799, Velocità Y: -14, Piattaforma Y: 750
19:14:16 - Rimbalzo - Pos Y: 710.4405363948736, Velocità Y: -14, Piattaforma Y: 750
19:14:16 - Rimbalzo - Pos Y: 611.2385168025719, Velocità Y: -14, Piattaforma Y: 650
19:14:17 - Rimbalzo - Pos Y: 609.570802571044, Velocità Y: -14, Piattaforma Y: 650
19:14:17 - GAME OVER - Pos Y: 848.370802571044, Velocità Y: 15, Ultima piattaforma Y: -3550
19:14:17 - GAME OVER - Pos Y: 863.370802571044, Velocità Y: 15, Ultima piattaforma Y: -3550
19:14:17 - GAME OVER - Pos Y: 878.370802571044, Velocità Y: 15, Ultima piattaforma Y: -3550
19:14:17 - GAME OVER - Pos Y: 893.370802571044, Velocità Y: 15, Ultima piattaforma Y: -3550
19:14:17 - GAME OVER - Pos Y: 908.370802571044, Velocità Y: 15, Ultima piattaforma Y: -3550
19:14:18 - GAME OVER - Pos Y: 923.370802571044, Velocità Y: 15, Ultima piattaforma Y: -3550
19:14:18 - GAME OVER - Pos Y: 938.370802571044, Velocità Y: 15, Ultima piattaforma Y: -3550
19:14:18 - GAME OVER - Pos Y: 953.370802571044, Velocità Y: 15, Ultima piattaforma Y: -3550
19:14:18 - GAME OVER - Pos Y: 968.370802571044, Velocità Y: 15, Ultima piattaforma Y: -3550
19:14:18 - GAME OVER - Pos Y: 983.370802571044, Velocità Y: 15, Ultima piattaforma Y: -3550
19:14:18 - GAME OVER - Pos Y: 998.370802571044, Velocità Y: 15, Ultima piattaforma Y: -3550
19:14:18 - GAME OVER - Pos Y: 1013.370802571044, Velocità Y: 15, Ultima piattaforma Y: -3550
19:14:18 - GAME OVER - Pos Y: 1028.370802571044, Velocità Y: 15, Ultima piattaforma Y: -3550
19:14:18 - GAME OVER - Pos Y: 1043.370802571044, Velocità Y: 15, Ultima piattaforma Y: -3550
19:14:18 - GAME OVER - Pos Y: 1058.370802571044, Velocità Y: 15, Ultima piattaforma Y: -3550
19:14:18 - GAME OVER - Pos Y: 1073.370802571044, Velocità Y: 15, Ultima piattaforma Y: -3550
19:14:18 - GAME OVER - Pos Y: 1088.370802571044, Velocità Y: 15, Ultima piattaforma Y: -3550
19:14:18 - GAME OVER - Pos Y: 1103.370802571044, Velocità Y: 15, Ultima piattaforma Y: -3550
19:14:18 - GAME OVER - Pos Y: 1118.370802571044, Velocità Y: 15, Ultima piattaforma Y: -3550
19:14:18 - GAME OVER - Pos Y: 1133.370802571044, Velocità Y: 15, Ultima piattaforma Y: -3550
19:14:18 - GAME OVER - Pos Y: 1148.370802571044, Velocità Y: 15, Ultima piattaforma Y: -3550
19:14:18 - GAME OVER - Pos Y: 1163.370802571044, Velocità Y: 15, Ultima piattaforma Y: -3550
19:14:18 - GAME OVER - Pos Y: 1178.370802571044, Velocità Y: 15, Ultima piattaforma Y: -3550
19:14:18 - GAME OVER - Pos Y: 1193.370802571044, Velocità Y: 15, Ultima piattaforma Y: -3550
19:14:18 - GAME OVER - Pos Y: 1208.370802571044, Velocità Y: 15, Ultima piattaforma Y: -3550
19:14:18 - GAME OVER - Pos Y: 1223.370802571044, Velocità Y: 15, Ultima piattaforma Y: -3550
19:14:18 - GAME OVER - Pos Y: 1238.370802571044, Velocità Y: 15, Ultima piattaforma Y: -3550
19:14:18 - GAME OVER - Pos Y: 1253.370802571044, Velocità Y: 15, Ultima piattaforma Y: -3550
19:14:18 - Resettando il gioco - Inizializzazione piattaforme statiche
19:14:18 - Generate piattaforme Mantello da 650 a -850
19:14:18 - Generate piattaforme Crosta da -970 a -2470
19:14:18 - Generate piattaforme Vulcano da -2590 a -3590
19:14:18 - Rimbalzo - Pos Y: 717.1825157324799, Velocità Y: -14, Piattaforma Y: 750
19:14:18 - Rimbalzo - Pos Y: 611.2259909886086, Velocità Y: -14, Piattaforma Y: 650
19:14:19 - Rimbalzo - Pos Y: 609.3449900569196, Velocità Y: -14, Piattaforma Y: 650
19:14:19 - Rimbalzo - Pos Y: 609.0297403511341, Velocità Y: -14, Piattaforma Y: 650
19:14:20 - Rimbalzo - Pos Y: 608.6924502332881, Velocità Y: -14, Piattaforma Y: 650
