19:06:08 - Rimbalzo - Pos Y: 717.4458887495753, Velocità Y: -14, Piattaforma Y: 750
19:06:08 - Rimbalzo - Pos Y: 716.3867989681164, Velocità Y: -14, Piattaforma Y: 750
19:06:08 - Rimbalzo - Pos Y: 715.92930761151, Velocità Y: -14, Piattaforma Y: 750
19:06:08 - Rimbalzo - Pos Y: 715.6878748209685, Velocità Y: -14, Piattaforma Y: 750
19:06:08 - Rimbalzo - Pos Y: 715.5604630316378, Velocità Y: -14, Piattaforma Y: 750
19:06:08 - Rimbalzo - Pos Y: 715.4932237638313, Velocità Y: -14, Piattaforma Y: 750
19:06:08 - Rimbalzo - Pos Y: 715.4577394561477, Velocità Y: -14, Piattaforma Y: 750
19:06:08 - Rimbalzo - Pos Y: 715.4390132544374, Velocità Y: -14, Piattaforma Y: 750
19:06:09 - Rimbalzo - Pos Y: 715.4291308401145, Velocità Y: -14, Piattaforma Y: 750
19:06:09 - Rimbalzo - Pos Y: 716.8411020439622, Velocità Y: -14, Piattaforma Y: 750
19:06:09 - Rimbalzo - Pos Y: 716.0241111869707, Velocità Y: -14, Piattaforma Y: 750
19:06:09 - Rimbalzo - Pos Y: 715.737905693566, Velocità Y: -14, Piattaforma Y: 750
19:06:09 - Rimbalzo - Pos Y: 715.5868659199327, Velocità Y: -14, Piattaforma Y: 750
19:06:09 - Rimbalzo - Pos Y: 716.7823063390166, Velocità Y: -14, Piattaforma Y: 750
19:06:10 - Rimbalzo - Pos Y: 716.1380294744636, Velocità Y: -14, Piattaforma Y: 750
19:06:10 - Rimbalzo - Pos Y: 715.7980240097831, Velocità Y: -14, Piattaforma Y: 750
19:06:10 - Rimbalzo - Pos Y: 715.2699705931761, Velocità Y: -14, Piattaforma Y: 750
19:06:10 - Rimbalzo - Pos Y: 715.5669710365701, Velocità Y: -14, Piattaforma Y: 750
19:06:10 - Rimbalzo - Pos Y: 715.4966582457488, Velocità Y: -14, Piattaforma Y: 750
19:06:10 - Rimbalzo - Pos Y: 715.4595519418732, Velocità Y: -14, Piattaforma Y: 750
19:06:10 - Rimbalzo - Pos Y: 715.4399697610035, Velocità Y: -14, Piattaforma Y: 750
19:06:10 - Rimbalzo - Pos Y: 715.429635619158, Velocità Y: -14, Piattaforma Y: 750
19:06:10 - Rimbalzo - Pos Y: 715.4241819626734, Velocità Y: -14, Piattaforma Y: 750
19:06:10 - Rimbalzo - Pos Y: 715.4213038940832, Velocità Y: -14, Piattaforma Y: 750
19:06:10 - Rimbalzo - Pos Y: 715.4197850454294, Velocità Y: -14, Piattaforma Y: 750
19:06:10 - Rimbalzo - Pos Y: 715.418983500518, Velocità Y: -14, Piattaforma Y: 750
19:06:10 - Rimbalzo - Pos Y: 715.4185604996856, Velocità Y: -14, Piattaforma Y: 750
19:06:11 - Rimbalzo - Pos Y: 715.4183372686455, Velocità Y: -14, Piattaforma Y: 750
19:06:11 - Rimbalzo - Pos Y: 715.4182194625007, Velocità Y: -14, Piattaforma Y: 750
19:06:11 - Rimbalzo - Pos Y: 715.4181572924382, Velocità Y: -14, Piattaforma Y: 750
19:06:11 - Rimbalzo - Pos Y: 715.4181244833119, Velocità Y: -14, Piattaforma Y: 750
19:06:11 - Rimbalzo - Pos Y: 715.4181071688888, Velocità Y: -14, Piattaforma Y: 750
19:06:11 - Rimbalzo - Pos Y: 715.4180980315151, Velocità Y: -14, Piattaforma Y: 750
19:06:11 - Rimbalzo - Pos Y: 715.4180932094314, Velocità Y: -14, Piattaforma Y: 750
19:06:11 - Rimbalzo - Pos Y: 715.4180906646639, Velocità Y: -14, Piattaforma Y: 750
19:06:11 - Rimbalzo - Pos Y: 715.4180893217089, Velocità Y: -14, Piattaforma Y: 750
19:06:12 - Rimbalzo - Pos Y: 715.4180886129886, Velocità Y: -14, Piattaforma Y: 750
19:06:12 - Rimbalzo - Pos Y: 715.4180882389743, Velocità Y: -14, Piattaforma Y: 750
19:06:12 - Rimbalzo - Pos Y: 715.4180880415951, Velocità Y: -14, Piattaforma Y: 750
19:06:12 - Rimbalzo - Pos Y: 715.4180879374317, Velocità Y: -14, Piattaforma Y: 750
19:06:12 - Rimbalzo - Pos Y: 715.4180878824614, Velocità Y: -14, Piattaforma Y: 750
19:06:12 - Rimbalzo - Pos Y: 715.4180878534518, Velocità Y: -14, Piattaforma Y: 750
